Genotype,FruitWeight,FruitLength,FruitWidth,Ratio,SkinThickness,SugarContent,Hardness,Shape
TC1_001,42.26,33.27,47.36,0.702,3,4,0.64,³³ÀÛÇÏ´Ù
TC1_002,55.22,37.49,47.54,0.789,5,5.3,0.62,¾à°£³³ÀÛÇÏ´Ù
TC1_003,12.22,24.41,27.69,0.882,3,5.6,0.57,µÕ±Û´Ù
TC1_004,31.42,32.95,40.33,0.817,5,4.3,0.69,¾à°£³³ÀÛÇÏ´Ù
TC1_005,33.7,35.6,39.82,0.894,5,3.9,0.88,Á÷»ç°¢Çü
TC1_006,58.38,38.8,57.46,0.675,4.2,4.2,0.76,³³ÀÛÇÏ´Ù
TC1_007,48.28,32.03,52.61,0.609,5,4.7,0.44,³³ÀÛÇÏ´Ù
TC1_008,7.82,20.5,24.72,0.829,3,4.1,0.4,¾à°£³³ÀÛÇÏ´Ù
TC1_009,14.38,23.1,30.86,0.749,3,4.1,0.63,¾à°£³³ÀÛÇÏ´Ù
TC1_010,12.7,23.95,28.66,0.836,3,3.4,0.74,¾à°£³³ÀÛÇÏ´Ù
TC1_011,87.54,46.96,55.02,0.854,5,4.2,0.62,µÕ±Û´Ù
TC1_012,50.62,33.28,54.23,0.614,3,4,0.57,³³ÀÛÇÏ´Ù
TC1_013,52.08,31.61,56.02,0.564,5,5.3,0.43,³³ÀÛÇÏ´Ù
TC1_014,60.16,39.92,50.34,0.793,5,4.3,0.51,¾à°£³³ÀÛÇÏ´Ù
TC1_015,18,25.52,38.88,0.656,3,4.1,0.6,¾à°£³³ÀÛÇÏ´Ù
TC1_016,45.72,37.38,44.33,0.843,5,4.1,0.74,¾à°£³³ÀÛÇÏ´Ù
TC1_017,11.5,23.64,26.64,0.887,3,4.9,0.52,µÕ±Û´Ù
TC1_018,126.56,55.03,61.93,0.889,5,4.5,0.68,µÕ±Û´Ù
TC1_019,56.16,40.62,47.69,0.852,5,3.6,0.6,µÕ±Û´Ù
TC1_020,59.8,41.21,48.64,0.847,5,3.6,0.74,µÕ±Û´Ù
TC1_021,52.56,39.2,45.91,0.854,5,3.6,0.73,¾à°£³³ÀÛÇÏ´Ù
TC1_022,48.92,40.31,43.76,0.921,5,3.9,0.76,µÕ±Û´Ù
TC1_023,28.18,32.48,36.35,0.894,4.2,3.7,0.68,µÕ±Û´Ù
TC1_024,140.22,49.42,73.68,0.671,5,4.8,0.64,³³ÀÛÇÏ´Ù
TC1_025,81.48,42.43,59.11,0.718,5,2.7,0.56,³³ÀÛÇÏ´Ù
TC1_026,44.74,36.68,42.05,0.872,5,3.5,0.56,µÕ±Û´Ù
TC1_027,152.36,56.96,66.9,0.851,5,4,0.61,µÕ±Û´Ù
TC1_028,49.1,49.34,46.79,1.054,5,4.2,0.82,Á÷»ç°¢Çü
TC1_029,52.08,35.91,48.89,0.735,3.8,3.1,0.5,¾à°£³³ÀÛÇÏ´Ù
TC1_030,55.02,36.44,51.04,0.714,3,2.7,0.66,¾à°£³³ÀÛÇÏ´Ù
TC1_031,101.6,50.94,60.79,0.838,5,3.1,0.69,¾à°£³³ÀÛÇÏ´Ù
TC1_032,102.54,42.72,65,0.657,5,2.7,0.58,¾à°£³³ÀÛÇÏ´Ù
TC1_033,8.2,21.92,24.1,0.91,3,6.1,0.42,µÕ±Û´Ù
TC1_034,69.42,44.42,50.85,0.874,5,3,0.58,µÕ±Û´Ù
TC1_035,7.84,22.65,22.21,1.02,3,7.1,0.59,µÕ±Û´Ù
TC1_036,69.16,39.61,52.3,0.757,5,2.1,0.46,¾à°£³³ÀÛÇÏ´Ù
TC1_037,144.74,52.34,70.98,0.737,5,2.8,0.5,µÕ±Û´Ù
TC1_038,67.86,40.46,54.53,0.742,5,3.1,0.33,¾à°£³³ÀÛÇÏ´Ù
TC1_039,8.1,21.18,23.65,0.896,3,4.1,0.64,µÕ±Û´Ù
TC1_040,127.2,51.21,65.66,0.78,5,3.3,0.71,¾à°£³³ÀÛÇÏ´Ù
TC1_041,73.48,49.64,52.35,0.948,5,3.6,0.55,Á÷»ç°¢Çü
TC1_042,63.82,45.75,48.25,0.948,5,4,0.55,µÕ±Û´Ù
TC1_043,131.84,40.02,67.06,0.597,5,3.2,0.49,¾à°£³³ÀÛÇÏ´Ù
TC1_044,75.52,63.05,51.54,1.223,5,4,0.39,Á÷»ç°¢Çü
TC1_045,72.84,42.86,57.85,0.741,4.2,3.4,0.48,¾à°£³³ÀÛÇÏ´Ù
TC1_046,135.84,54.07,66.02,0.819,5,3.4,0.55,¾à°£³³ÀÛÇÏ´Ù
TC1_047,16.58,25.73,31.01,0.83,3,5,0.41,µÕ±Û´Ù
TC1_048,38.44,54.05,35.75,1.512,5,4,0.51,´Þ°¿Çü
TC1_049,100.98,47.43,58.58,0.81,5,3.3,0.47,¾à°£³³ÀÛÇÏ´Ù
TC1_050,226.08,55.72,80.83,0.689,5,4.6,0.35,³³ÀÛÇÏ´Ù
TC1_051,48.54,48.16,42.58,1.131,5,4.3,0.64,Á÷»ç°¢Çü
TC1_052,90.98,43.46,58.6,0.742,3.4,4.2,0.32,¾à°£³³ÀÛÇÏ´Ù
TC1_053,147.16,57.15,68.49,0.834,5,3.4,0.49,µÕ±Û´Ù
TC1_054,39.94,48.16,37.69,1.278,5,4.1,0.48,´Þ°¿Çü
TC1_055,107.14,53.1,61.3,0.866,5,4.7,0.66,µÕ±Û´Ù
TC1_056,82.04,44.76,49.49,0.904,5,2.7,0.69,µÕ±Û´Ù
TC1_057,154.4,56.65,70.88,0.799,5,4.3,0.6,µÕ±Û´Ù
TC1_058,188.18,63.3,73.17,0.865,7,2.2,0.7,¾à°£³³ÀÛÇÏ´Ù
TC1_059,71.44,45.55,52.99,0.86,5,2.6,0.72,¾à°£³³ÀÛÇÏ´Ù
TC1_060,100.48,49.23,58.77,0.838,5,2.8,0.62,µÕ±Û´Ù
TC1_061,186.96,64.75,70.81,0.914,7,3.3,0.59,µÕ±Û´Ù
TC1_062,127.48,53.43,63.87,0.837,6.2,4.4,0.61,µÕ±Û´Ù
TC1_063,147.38,57.66,65.15,0.885,5,4.8,0.57,µÕ±Û´Ù
TC1_064,143.62,57.58,66.47,0.866,5,4.6,0.62,¾à°£³³ÀÛÇÏ´Ù
TC1_065,83.04,57.19,55.2,1.036,5,4.8,0.66,Á÷»ç°¢Çü
TC1_066,172.16,61.8,72.68,0.85,5,4.1,0.48,µÕ±Û´Ù
TC1_067,73.92,38.16,56.64,0.674,4.2,3.3,0.46,¾à°£³³ÀÛÇÏ´Ù
TC1_068,86.52,45.36,54.71,0.829,5,4.4,0.54,¾à°£³³ÀÛÇÏ´Ù
TC1_069,154.7,57.29,68.64,0.835,5,4.7,0.64,¾à°£³³ÀÛÇÏ´Ù
TC1_070,45.44,67.39,33.12,2.035,5,3.9,0.52,¿øÅëÇü
TC1_071,55.58,40.04,46.95,0.853,5,3.5,0.45,µÕ±Û´Ù
TC1_072,65.58,56.58,47.98,1.179,5,2.7,0.59,°Å²Ü´Þ°¿Çü
TC1_073,35.6,33.49,41.51,0.807,3,2.4,0.56,¾à°£³³ÀÛÇÏ´Ù
TC1_074,71.72,40.55,56.1,0.723,4.2,3.6,0.51,¾à°£³³ÀÛÇÏ´Ù
TC1_075,33.58,33.22,41.47,0.801,3.4,2.5,0.46,¾à°£³³ÀÛÇÏ´Ù
TC1_076,80.28,47.33,54.63,0.866,5,3.4,0.55,µÕ±Û´Ù
TC1_077,77.92,63.84,48.2,1.324,5.4,2.8,0.69,Á÷»ç°¢Çü
TC1_078,59.04,40.88,48.29,0.847,4.6,4.6,0.71,µÕ±Û´Ù
TC1_079,29.54,53.1,29.59,1.795,5,5.2,0.6,¿øÅëÇü
TC1_080,30.42,48.31,33.32,1.45,5,5.1,0.66,°Å²Ü´Þ°¿Çü
TC1_081,39.04,49.47,37.43,1.322,5,5.9,0.88,°Å²Ü´Þ°¿Çü
TC1_082,60.68,65.38,40.4,1.618,7,5.2,0.84,´Þ°¿Çü
TC1_083,33.44,39.38,37.73,1.044,4.2,6.2,0.86,Á÷»ç°¢Çü
TC1_084,21.6,30.78,34.22,0.899,4.6,5,0.77,½ÉÀåÇü
TC1_085,56.5,57.29,40.36,1.419,7,5.3,0.89,°Å²Ü´Þ°¿Çü
TC1_086,23.64,33.51,34.22,0.979,3,5.8,0.57,µÕ±Û´Ù
TC1_087,38.72,43.79,39.12,1.119,5,5.3,0.66,¿øÅëÇü
TC1_088,69.18,49.34,49.71,0.993,7,3.7,0.74,µÕ±Û´Ù
TC1_089,81.18,56.84,51.71,1.099,5,2.8,0.58,°Å²Ü´Þ°¿Çü
TC1_090,67.04,49.69,48.76,1.019,6.2,3.5,0.89,µÕ±Û´Ù
TC1_091,61.44,46.06,45.99,1.002,7,3.2,0.75,µÕ±Û´Ù
TC1_092,67.88,47.75,49.68,0.961,7,3.8,0.75,½ÉÀåÇü
TC1_093,27.16,45.1,33.51,1.346,5,5.9,0.84,´Þ°¿Çü
TC1_094,38.4,42.29,40.37,1.048,5,4.7,0.76,°Å²Ü´Þ°¿Çü
TC1_095,25.72,34.8,35.53,0.979,3,4.5,0.68,µÕ±Û´Ù
TC1_096,176.72,56.79,73.71,0.77,7,4.9,0.63,¾à°£³³ÀÛÇÏ´Ù
TC1_097,22.8,31.53,34.67,0.909,5,5.2,0.66,µÕ±Û´Ù
TC1_098,157.1,55.4,71.15,0.779,7,4.5,0.72,¾à°£³³ÀÛÇÏ´Ù
TC1_099,83.92,47.63,53.76,0.886,6.6,5,0.48,µÕ±Û´Ù
TC1_100,11.44,26.22,26.6,0.986,4.2,6.3,0.61,µÕ±Û´Ù
TC1_101,19.1,39.12,28.41,1.377,5,6.4,0.7,¿øÅëÇü
TC1_102,21.76,41.93,29.64,1.415,3,7.9,0.64,´Þ°¿Çü
TC1_103,21.52,40.9,30.83,1.327,3,7.8,0.62,´Þ°¿Çü
TC1_104,45.46,37.39,43.64,0.857,5.8,5.3,0.73,µÕ±Û´Ù
TC1_105,38.74,48.95,33.53,1.46,7,4.1,0.68,°Å²Ü´Þ°¿Çü
TC1_106,47.62,66.61,36.62,1.819,7,4.6,0.69,°Å²Ü´Þ°¿Çü
TC1_107,29.58,47.36,33.38,1.419,5.8,5.1,0.7,°Å²Ü´Þ°¿Çü
TC1_108,34.1,48.84,34.66,1.409,5,5,0.85,°Å²Ü´Þ°¿Çü
TC1_109,28.62,55.01,29.86,1.842,5,5.1,0.8,°¡ÁöÇü
TC1_110,26.14,46.17,30.31,1.523,4.6,4.3,0.77,°Å²Ü´Þ°¿Çü
TC1_111,23.06,34.61,32.94,1.051,5,5.1,0.75,µÕ±Û´Ù
TC1_112,20.46,30.01,33.32,0.901,3,4.6,0.89,µÕ±Û´Ù
TC1_113,21.6,29.17,34.68,0.841,3,6.7,0.82,¾à°£³³ÀÛÇÏ´Ù
TC1_114,29.68,36.5,36.86,0.99,5,5,0.84,µÕ±Û´Ù
TC1_115,25.52,36.24,34.55,1.049,5,6.8,0.71,°Å²Ü´Þ°¿Çü
TC1_116,14.34,29.24,29.79,0.982,3,5.7,0.49,µÕ±Û´Ù
TC1_117,21.26,31.58,32.69,0.966,5,6,0.58,µÕ±Û´Ù
TC1_118,25.9,33.82,35.92,0.942,5,5.5,0.56,µÕ±Û´Ù
TC1_119,31.28,37.23,36.61,1.017,5,5.2,0.65,Á÷»ç°¢Çü
TC1_120,30.14,41.17,36.46,1.129,5,5.4,0.69,°Å²Ü´Þ°¿Çü
TC1_121,38.42,48.27,36.34,1.328,3,7.6,0.69,´Þ°¿Çü
TC1_122,26.4,34.75,35.37,0.982,5,4.4,0.6,µÕ±Û´Ù
TC1_123,75.68,46.69,55.96,0.834,5,4.5,0.42,µÕ±Û´Ù
TC1_124,29.02,44.64,34.12,1.308,5,5.4,0.46,°Å²Ü´Þ°¿Çü
TC1_125,56.56,42.41,47.4,0.895,5,5.9,0.65,µÕ±Û´Ù
TC1_126,17.5,30,30.93,0.97,3,4.8,0.5,µÕ±Û´Ù
TC1_127,16.54,35.8,27.06,1.323,5,5.6,0.55,¿øÅëÇü
TC1_128,30.38,41.55,36.21,1.147,5,4,0.58,°Å²Ü´Þ°¿Çü
TC1_129,77.36,45.89,54.26,0.846,5,2.7,0.6,½ÉÀåÇü
TC1_130,70.96,47.36,50.51,0.938,6.6,3.1,0.62,µÕ±Û´Ù
TC1_131,20.62,42.48,27.73,1.532,5,3.7,0.54,¿øÅëÇü
TC1_132,12.4,35.56,23.44,1.517,5,5.3,0.46,°Å²Ü´Þ°¿Çü
TC1_133,227.02,56.57,72.99,0.775,5,3.8,0.35,¾à°£³³ÀÛÇÏ´Ù
TC1_134,57.1,44.05,46.55,0.946,5,4.9,0.46,¾à°£³³ÀÛÇÏ´Ù
TC1_135,64.68,44.05,50.2,0.877,6.6,4.3,0.37,µÕ±Û´Ù
TC1_136,324.22,77.08,89.1,0.865,5,5.1,0.46,½ÉÀåÇü
TC1_137,245.28,60.09,88.79,0.677,5.4,4.9,0.46,³³ÀÛÇÏ´Ù
TC1_138,105.1,47.13,60.69,0.777,5,4.8,0.43,¾à°£³³ÀÛÇÏ´Ù
TC1_139,86.34,45.42,55.58,0.817,5,4.6,0.35,¾à°£³³ÀÛÇÏ´Ù
TC1_140,160.42,57.55,68.29,0.843,6.2,4.9,0.43,¾à°£³³ÀÛÇÏ´Ù
TC1_141,226.98,58.86,84.44,0.697,5,6,0.53,³³ÀÛÇÏ´Ù
TC1_142,253.9,66.51,85.61,0.777,5,5,0.53,¾à°£³³ÀÛÇÏ´Ù
TC1_143,121.4,52.74,62.75,0.84,5.4,4.1,0.59,¾à°£³³ÀÛÇÏ´Ù
TC1_144,63.54,50.25,45.73,1.099,5,4.1,0.66,°Å²Ü´Þ°¿Çü
TC1_145,70.94,51.31,49,1.047,5,3.7,0.81,µÕ±Û´Ù
TC1_146,56.92,46.74,45.91,1.018,7,3.4,0.75,µÕ±Û´Ù
TC1_147,182.5,67.48,73.22,0.922,5.8,4.3,0.74,°Å²Ü´Þ°¿Çü
TC1_148,74.72,46.18,51.64,0.894,5,4.2,0.71,µÕ±Û´Ù
TC1_149,24.58,44.96,31.06,1.448,5,5.3,0.69,´Þ°¿Çü
TC1_150,33.84,41.33,38.8,1.065,5,3.5,0.68,Á÷»ç°¢Çü
TC1_151,70.22,44.07,53.22,0.828,5,3.5,0.63,µÕ±Û´Ù
TC1_152,60.94,45.35,50.29,0.902,6.6,3.6,0.57,½ÉÀåÇü
TC1_153,72.14,48.56,50.85,0.955,6.6,3.4,0.64,½ÉÀåÇü
TC1_154,84.94,46.73,56.23,0.831,5,4.2,0.73,¾à°£³³ÀÛÇÏ´Ù
TC1_155,61.24,45.9,48.36,0.949,5,3.8,0.65,µÕ±Û´Ù
TC1_156,79.9,43.39,54.07,0.802,6.2,4.4,0.56,¾à°£³³ÀÛÇÏ´Ù
TC1_157,123.26,51.43,65.12,0.79,6.6,4.3,0.7,¾à°£³³ÀÛÇÏ´Ù
TC1_158,104.9,49.07,61.59,0.797,5,4.8,0.78,¾à°£³³ÀÛÇÏ´Ù
TC1_159,78.26,43.69,55.13,0.792,5,3.5,0.61,¾à°£³³ÀÛÇÏ´Ù
TC1_160,54.52,42.28,47.67,0.887,5,3.2,0.69,µÕ±Û´Ù
TC1_161,122.02,54.41,59.6,0.913,6.6,4.8,0.57,µÕ±Û´Ù
TC1_162,21.6,47.38,28,1.692,5,4.7,0.58,°Å²Ü´Þ°¿Çü
TC1_163,33.2,46.37,34.56,1.342,5,4.3,0.69,°Å²Ü´Þ°¿Çü
TC1_164,21.02,37.37,30.69,1.218,5,6.8,0.75,°Å²Ü´Þ°¿Çü
TC1_165,14.9,31.66,27.03,1.171,5,5.7,0.62,Á÷»ç°¢Çü
TC1_166,18.98,42.27,26.99,1.566,5,7.6,0.69,´Þ°¿Çü
TC1_167,32.82,51.19,32.74,1.564,5,7.1,0.71,´Þ°¿Çü
TC1_168,27.62,49.39,30.66,1.611,5,7.8,0.69,´Þ°¿Çü
TC1_169,21.28,41.13,29.98,1.372,5,8,0.55,´Þ°¿Çü
TC1_170,27.18,42.82,32.65,1.311,4.6,7.9,0.65,´Þ°¿Çü
TC1_171,31.26,46.25,35.31,1.31,5,2.3,0.58,°Å²Ü´Þ°¿Çü
TC1_172,141.28,51.38,66.22,0.776,5,4.4,0.54,¾à°£³³ÀÛÇÏ´Ù
TC1_173,146.74,54.39,67.41,0.807,5,4.1,0.61,¾à°£³³ÀÛÇÏ´Ù
TC1_174,81.24,44.26,55.96,0.791,5,3.5,0.64,¾à°£³³ÀÛÇÏ´Ù
TC1_175,87.1,46.4,54.45,0.852,4.2,3.7,0.67,¾à°£³³ÀÛÇÏ´Ù
TC1_176,42.76,36.28,46.13,0.786,4.6,5.2,0.6,¾à°£³³ÀÛÇÏ´Ù
TC1_177,35.24,35.06,40.5,0.866,5,5.2,0.66,µÕ±Û´Ù
TC1_178,30.32,42.46,33.77,1.257,3.8,4.4,0.52,´Þ°¿Çü
TC1_179,29.96,36.14,36.46,0.991,4.6,4.5,0.55,µÕ±Û´Ù
TC1_180,121.54,102.09,46.48,2.196,5,5.9,0.66,¿øÅëÇü
TC1_181,14.44,43.85,26.73,1.64,3.4,4.8,0.56,°¡ÁöÇü
TC1_182,111.67,58.23,74.97,0.777,5,4.9,0.86,Á÷»ç°¢Çü
TC1_183,137.74,49.96,69.36,0.72,5,5.3,0.6,¾à°£³³ÀÛÇÏ´Ù
TC1_184,107.02,46.1,62.88,0.733,3.8,4.4,0.56,¾à°£³³ÀÛÇÏ´Ù
TC1_185,185.12,41.72,75.72,0.551,5,5.2,0.42,¾à°£³³ÀÛÇÏ´Ù
TC1_186,128.98,54.95,71.46,0.769,5,4,0.51,¾à°£³³ÀÛÇÏ´Ù
TC1_187,32.04,35.61,36.72,0.97,5,5,0.55,µÕ±Û´Ù
TC1_188,145.06,49.46,69.49,0.712,4.2,4.3,0.57,¾à°£³³ÀÛÇÏ´Ù
TC1_189,12,33.45,23.91,1.399,5,7.5,0.69,°Å²Ü´Þ°¿Çü
TC1_190,27.22,31.35,35.84,0.875,5,4.7,0.5,µÕ±Û´Ù
TC1_191,48.88,43.97,44.2,0.995,5,3.7,0.92,µÕ±Û´Ù
TC1_192,208.22,50.37,88.39,0.57,3.4,4.7,0.53,³³ÀÛÇÏ´Ù
